EmailsDia,DateReceived
1,2016-09-07 00:00:00
1,2016-09-24 00:00:00
1,2016-09-25 00:00:00
1,2016-10-12 00:00:00
1,2016-10-17 00:00:00
1,2016-10-26 00:00:00
1,2016-10-31 00:00:00
1,2016-11-02 00:00:00
1,2016-11-05 00:00:00
1,2016-11-14 00:00:00
2,2016-09-06 00:00:00
2,2016-09-08 00:00:00
2,2016-09-13 00:00:00
2,2016-11-01 00:00:00
2,2016-11-06 00:00:00
3,2016-09-01 00:00:00
3,2016-09-02 00:00:00
3,2016-09-12 00:00:00
3,2016-09-20 00:00:00
3,2016-10-21 00:00:00
3,2016-10-27 00:00:00
3,2016-11-09 00:00:00
4,2016-10-24 00:00:00
4,2016-10-28 00:00:00
4,2016-11-07 00:00:00
4,2016-11-11 00:00:00
5,2016-09-09 00:00:00
5,2016-10-05 00:00:00
5,2016-10-11 00:00:00
5,2016-10-18 00:00:00
6,2016-09-05 00:00:00
6,2016-09-14 00:00:00
6,2016-09-15 00:00:00
6,2016-09-22 00:00:00
6,2016-10-25 00:00:00
7,2016-09-19 00:00:00
7,2016-09-21 00:00:00
7,2016-11-04 00:00:00
7,2016-11-10 00:00:00
8,2016-09-27 00:00:00
8,2016-09-30 00:00:00
8,2016-10-03 00:00:00
8,2016-10-13 00:00:00
9,2016-11-08 00:00:00
10,2016-09-29 00:00:00
10,2016-10-14 00:00:00
11,2016-09-16 00:00:00
11,2016-10-10 00:00:00
12,2016-09-23 00:00:00
12,2016-09-28 00:00:00
14,2016-09-26 00:00:00
14,2016-10-04 00:00:00
16,2016-10-06 00:00:00
16,2016-10-07 00:00:00
17,2016-10-19 00:00:00
20,2016-11-03 00:00:00
21,2016-10-20 00:00:00
